food_number,food_name,cal
01001,アマランサス　玄穀　,358
01002,あわ　精白粒　,367
01003,あわ　あわもち　,214
01004,えんばく オートミール　,380
01005,おおむぎ 七分つき押麦　,341
01006,おおむぎ　押麦　,340
01007,おおむぎ　米粒麦　,343
01008,おおむぎ　大麦めん　乾　,339
01009,おおむぎ　大麦めん　ゆで　,122
01010,おおむぎ　麦こがし　,391
01011,きび　精白粒　　　,363
01012,こむぎ　［玄穀］　国産　普通　,337
01013,こむぎ　［玄穀］　輸入　軟質　,348
01014,こむぎ　［玄穀］　輸入　硬質　,334
01015,こむぎ　［小麦粉］　薄力粉　1等　,367
01016,こむぎ　［小麦粉］　薄力粉　2等　,368
01018,こむぎ　［小麦粉］　中力粉　1等　,367
01019,こむぎ　［小麦粉］　中力粉　2等　,368
01020,こむぎ　［小麦粉］　強力粉　1等　,365
01021,こむぎ　［小麦粉］　強力粉　2等　,366
01023,こむぎ　［小麦粉］　強力粉　全粒粉　,328
01146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,352
01024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,365
01147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,331
01025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,351
01026,こむぎ　［パン類］　食パン　　,264
01028,こむぎ　［パン類］　コッペパン　　,265
01030,こむぎ　［パン類］　乾パン　　,393
01031,こむぎ　［パン類］　フランスパン　　,279
01032,こむぎ　［パン類］　ライ麦パン　　,264
01033,こむぎ　［パン類］　ぶどうパン　　,269
01034,こむぎ　［パン類］　ロールパン　　,316
01035,こむぎ　［パン類］　クロワッサン　　,448
01036,こむぎ　［パン類］　イングリッシュマフィン　　,228
01037,こむぎ　［パン類］　ナン　　,262
01148,こむぎ　［パン類］　ベーグル　　,275
01038,こむぎ　［うどん・そうめん類］　うどん　生　,270
01039,こむぎ　［うどん・そうめん類］　うどん　ゆで　,105
01041,こむぎ　［うどん・そうめん類］　干しうどん　乾　,348
01042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,126
01043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,356
01044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　,127
01045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　,342
01046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　,127
01047,こむぎ　［中華めん類］　中華めん　生　,281
01048,こむぎ　［中華めん類］　中華めん　ゆで　,149
01049,こむぎ　［中華めん類］　蒸し中華めん　　,198
01050,こむぎ　［中華めん類］　干し中華めん　乾　,365
01051,こむぎ　［中華めん類］　干し中華めん　ゆで　,140
01052,こむぎ　［中華めん類］　沖縄そば　生　,284
01053,こむぎ　［中華めん類］　沖縄そば　ゆで　,147
01054,こむぎ　［中華めん類］　干し沖縄そば　乾　,351
01055,こむぎ　［中華めん類］　干し沖縄そば　ゆで　,148
01056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　,445
01057,こむぎ　［即席めん類］　即席中華めん　油揚げ　,458
01058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　,356
01059,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　,448
01060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　,436
01061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　,342
01062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　,451
01063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　,379
01064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　,165
01149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　,247
01065,こむぎ　［ふ類］　生ふ　　,163
01066,こむぎ　［ふ類］　焼きふ　釜焼きふ　,385
01067,こむぎ　［ふ類］　焼きふ　板ふ　,379
01068,こむぎ　［ふ類］　焼きふ　車ふ　,387
01070,こむぎ　［その他］　小麦はいが　　,426
01071,こむぎ　［その他］　小麦たんぱく　粉末状　,437
01072,こむぎ　［その他］　小麦たんぱく　粒状　,111
01073,こむぎ　［その他］　小麦たんぱく　ペースト状　,159
