food_number,food_name,cal_per_hundred
1001,アマランサス　玄穀　,358
1002,あわ　精白粒　,367
1003,あわ　あわもち　,214
1004,えんばく オートミール　,380
1005,おおむぎ 七分つき押麦　,341
1006,おおむぎ　押麦　,340
1007,おおむぎ　米粒麦　,343
1008,おおむぎ　大麦めん　乾　,339
1009,おおむぎ　大麦めん　ゆで　,122
1010,おおむぎ　麦こがし　,391
1011,きび　精白粒　　　,363
1012,こむぎ　［玄穀］　国産　普通　,337
1013,こむぎ　［玄穀］　輸入　軟質　,348
1014,こむぎ　［玄穀］　輸入　硬質　,334
1015,こむぎ　［小麦粉］　薄力粉　1等　,367
1016,こむぎ　［小麦粉］　薄力粉　2等　,368
1018,こむぎ　［小麦粉］　中力粉　1等　,367
1019,こむぎ　［小麦粉］　中力粉　2等　,368
1020,こむぎ　［小麦粉］　強力粉　1等　,365
1021,こむぎ　［小麦粉］　強力粉　2等　,366
1023,こむぎ　［小麦粉］　強力粉　全粒粉　,328
1146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,352
1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,365
1147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,331
1025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,351
1026,こむぎ　［パン類］　食パン　　,264
1028,こむぎ　［パン類］　コッペパン　　,265
1030,こむぎ　［パン類］　乾パン　　,393
1031,こむぎ　［パン類］　フランスパン　　,279
1032,こむぎ　［パン類］　ライ麦パン　　,264
1033,こむぎ　［パン類］　ぶどうパン　　,269
1034,こむぎ　［パン類］　ロールパン　　,316
1035,こむぎ　［パン類］　クロワッサン　　,448
1036,こむぎ　［パン類］　イングリッシュマフィン　　,228
1037,こむぎ　［パン類］　ナン　　,262
1148,こむぎ　［パン類］　ベーグル　　,275
1038,こむぎ　［うどん・そうめん類］　うどん　生　,270
1039,こむぎ　［うどん・そうめん類］　うどん　ゆで　,105
1041,こむぎ　［うどん・そうめん類］　干しうどん　乾　,348
1042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,126
1043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,356
1044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　,127
1045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　,342
1046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　,127
1047,こむぎ　［中華めん類］　中華めん　生　,281
1048,こむぎ　［中華めん類］　中華めん　ゆで　,149
1049,こむぎ　［中華めん類］　蒸し中華めん　　,198
1050,こむぎ　［中華めん類］　干し中華めん　乾　,365
1051,こむぎ　［中華めん類］　干し中華めん　ゆで　,140
1052,こむぎ　［中華めん類］　沖縄そば　生　,284
1053,こむぎ　［中華めん類］　沖縄そば　ゆで　,147
